,Header,Links,Scikit_Location
48,An introduction to machine learning with scikit-learn,https://en.wikipedia.org/wiki/Machine_learning,http://scikit-learn.org/stable/tutorial/basic/tutorial.html
50,An introduction to machine learning with scikit-learn,https://en.wikipedia.org/wiki/Sample_(statistics),http://scikit-learn.org/stable/tutorial/basic/tutorial.html
51,An introduction to machine learning with scikit-learn,https://en.wikipedia.org/wiki/Multivariate_random_variable,http://scikit-learn.org/stable/tutorial/basic/tutorial.html
52,An introduction to machine learning with scikit-learn,https://en.wikipedia.org/wiki/Supervised_learning,http://scikit-learn.org/stable/tutorial/basic/tutorial.html
54,An introduction to machine learning with scikit-learn,https://en.wikipedia.org/wiki/Classification_in_machine_learning,http://scikit-learn.org/stable/tutorial/basic/tutorial.html
55,An introduction to machine learning with scikit-learn,https://en.wikipedia.org/wiki/Regression_analysis,http://scikit-learn.org/stable/tutorial/basic/tutorial.html
56,An introduction to machine learning with scikit-learn,https://en.wikipedia.org/wiki/Unsupervised_learning,http://scikit-learn.org/stable/tutorial/basic/tutorial.html
57,An introduction to machine learning with scikit-learn,https://en.wikipedia.org/wiki/Cluster_analysis,http://scikit-learn.org/stable/tutorial/basic/tutorial.html
58,An introduction to machine learning with scikit-learn,https://en.wikipedia.org/wiki/Density_estimation,http://scikit-learn.org/stable/tutorial/basic/tutorial.html
61,An introduction to machine learning with scikit-learn,https://en.wikipedia.org/wiki/Iris_flower_data_set,http://scikit-learn.org/stable/tutorial/basic/tutorial.html
62,An introduction to machine learning with scikit-learn,http://archive.ics.uci.edu/ml/datasets/Pen-Based+Recognition+of+Handwritten+Digits,http://scikit-learn.org/stable/tutorial/basic/tutorial.html
63,An introduction to machine learning with scikit-learn,https://archive.ics.uci.edu/ml/machine-learning-databases/housing/,http://scikit-learn.org/stable/tutorial/basic/tutorial.html
68,An introduction to machine learning with scikit-learn,https://en.wikipedia.org/wiki/Estimator,http://scikit-learn.org/stable/tutorial/basic/tutorial.html
69,An introduction to machine learning with scikit-learn,https://en.wikipedia.org/wiki/Support_vector_machine,http://scikit-learn.org/stable/tutorial/basic/tutorial.html
75,An introduction to machine learning with scikit-learn,https://docs.python.org/2/library/pickle.html,http://scikit-learn.org/stable/tutorial/basic/tutorial.html
76,An introduction to machine learning with scikit-learn,https://pythonhosted.org/joblib/persistence.html,http://scikit-learn.org/stable/tutorial/basic/tutorial.html
1723,API Reference,https://en.wikipedia.org/wiki/Johnson%E2%80%93Lindenstrauss_lemma,http://scikit-learn.org/stable/modules/classes.html
1835,API Reference,http://mlcomp.org/,http://scikit-learn.org/stable/modules/classes.html
1929,Frequently Asked Questions,https://scikits.appspot.com/scikits,http://scikit-learn.org/stable/faq.html
1930,Frequently Asked Questions,http://scikit-image.org/,http://scikit-learn.org/stable/faq.html
1935,Frequently Asked Questions,http://stats.stackexchange.com,http://scikit-learn.org/stable/faq.html
1936,Frequently Asked Questions,http://stackoverflow.com/questions/tagged/scikit-learn,http://scikit-learn.org/stable/faq.html
1937,Frequently Asked Questions,https://mail.python.org/mailman/listinfo/scikit-learn,http://scikit-learn.org/stable/faq.html
1938,Frequently Asked Questions,http://stackoverflow.com/help/mcve,http://scikit-learn.org/stable/faq.html
1939,Frequently Asked Questions,https://github.com/scikit-learn/scikit-learn/issues,http://scikit-learn.org/stable/faq.html
